"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Aug 19 08:39:21 GMT 2023","Sat Aug 19 08:39:21 GMT 2023","1","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","LoginTest1","LoginTest1","Verify that user with in valid credential is not able to see the dashboard"
"skipped","Sat Aug 19 08:39:18 GMT 2023","Sat Aug 19 08:39:18 GMT 2023","11","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","LoginTest","LoginTest","Verify that user with valid credential is able to see the dashboard"
"broken","Sat Aug 19 08:39:23 GMT 2023","Sat Aug 19 08:39:23 GMT 2023","12","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","springTestContextAfterTestMethod","springTestContextAfterTestMethod",""
"broken","Sat Aug 19 08:39:21 GMT 2023","Sat Aug 19 08:39:21 GMT 2023","1","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","springTestContextBeforeTestMethod","springTestContextBeforeTestMethod",""
"broken","Sat Aug 19 08:39:17 GMT 2023","Sat Aug 19 08:39:17 GMT 2023","10","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","springTestContextPrepareTestInstance","springTestContextPrepareTestInstance",""
