"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 19 08:47:01 GMT 2023","Sat Aug 19 08:47:31 GMT 2023","30009","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","LoginTest1","LoginTest1","Verify that user with in valid credential is not able to see the dashboard"
"passed","Sat Aug 19 08:46:55 GMT 2023","Sat Aug 19 08:47:00 GMT 2023","4759","Surefire suite","Surefire test","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","com.playwrightdemo.playwrightframework.PlaywrightFrameworkApplicationTests","LoginTest","LoginTest","Verify that user with valid credential is able to see the dashboard"
